date,value,series_id,indicator_name,unit,geography,geo_level,source
2010-01-01,24433.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-01-01,666.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-01-01,2739.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-01-01,11447.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-01-01,129802.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-01-01,19829.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-01-01,5580.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-01-01,7733.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-01-01,16627.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-02-01,16646.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-02-01,7726.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-02-01,129706.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-02-01,674.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-02-01,19843.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-02-01,11439.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-02-01,5500.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-02-01,24421.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-02-01,2737.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-03-01,5537.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-03-01,24467.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-03-01,681.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-03-01,2719.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-03-01,19896.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-03-01,11439.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-03-01,129866.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-03-01,16629.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-03-01,7709.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-04-01,7711.0,CES5500000001,Financial Activities Employment,Thousands,United States,National,BLS CES
2010-04-01,2714.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
2010-04-01,5553.0,CES2000000001,Construction Employment,Thousands,United States,National,BLS CES
2010-04-01,19907.0,CES6500000001,Education & Health Services Employment,Thousands,United States,National,BLS CES
2010-04-01,24469.0,CES4000000001,"Trade, Transport & Utilities Employment",Thousands,United States,National,BLS CES
2010-04-01,130120.0,CES0000000001,Total Nonfarm Employment,Thousands,United States,National,BLS CES
2010-04-01,16721.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-04-01,687.0,CES1000000001,Mining & Logging Employment,Thousands,United States,National,BLS CES
2010-04-01,11475.0,CES3000000001,Manufacturing Employment,Thousands,United States,National,BLS CES
2010-05-01,16756.0,CES6000000001,Professional & Business Services Employment,Thousands,United States,National,BLS CES
2010-05-01,2708.0,CES5000000001,Information Employment,Thousands,United States,National,BLS CES
